customerID,Tenure,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
1,42.0,Month-to-month,Yes,Electronic check,79.8545823237739,1059.55
2,32.0,Month-to-month,Yes,Electronic check,76.8451201369704,669.45
3,0.0,Month-to-month,No,Electronic check,55.6141495497026,3791.6
4,72.0,Two year,Yes,Credit card (automatic),108.49116874144,6470.1
5,38.0,Month-to-month,Yes,Bank transfer (automatic),NaN,1496.9
6,72.0,Month-to-month,No,Credit card (automatic),NaN,318.5
7,5.0,Month-to-month,No,Credit card (automatic),NaN,2674.15
8,0.0,Month-to-month,Yes,Electronic check,NaN,5886.85
9,0.0,Month-to-month,Yes,Electronic check,98.0097715634181,5025.0
10,4.0,Month-to-month,Yes,Bank transfer (automatic),110.884601756117,6954.15
11,24.0,Month-to-month,Yes,Electronic check,118.75,199.75
12,18.0,Two year,No,Mailed check,18.25,20.2
13,41.0,Month-to-month,No,Bank transfer (automatic),80.2037530713717,2413.05
14,0.0,Month-to-month,Yes,Electronic check,51.46732375986,1800.05
15,2.0,Month-to-month,No,Mailed check,18.25,470.6
16,11.0,Month-to-month,Yes,Electronic check,100.474452034819,5963.95
17,54.0,One year,No,Mailed check,48.9279547337532,6844.5
18,4.0,Month-to-month,No,Mailed check,86.5147478308916,433.95
19,37.0,One year,No,Bank transfer (automatic),45.1508485335477,2351.8
20,35.0,Month-to-month,Yes,Mailed check,20.4841969356689,337.9
21,72.0,One year,Yes,Credit card (automatic),111.022839247103,2090.25
22,9.0,Month-to-month,Yes,Electronic check,37.0394996729726,425.9
23,20.0,Two year,Yes,Credit card (automatic),27.4941541313314,779.2
24,22.0,Month-to-month,Yes,Electronic check,18.25,170.9
25,31.0,Two year,No,Electronic check,41.2056117575303,861.85
26,21.0,Month-to-month,No,Mailed check,73.6211319271477,4295.35
27,52.0,Two year,Yes,Electronic check,88.6045626554078,210.65
28,0.0,Month-to-month,Yes,Electronic check,70.898495974466,3092.0
29,44.0,Two year,Yes,Electronic check,98.9552192840286,8061.5
30,41.0,Month-to-month,No,Mailed check,63.0610304790267,2964.0
31,46.0,One year,Yes,Credit card (automatic),33.9573420091651,615.35
32,0.0,Month-to-month,Yes,Credit card (automatic),26.9853755837661,20.2
33,49.0,Month-to-month,Yes,Credit card (automatic),103.234703699995,351.5
34,8.0,Two year,No,Mailed check,22.3034949419454,809.75
35,45.0,One year,No,Bank transfer (automatic),63.5699152621211,6252.9
36,17.0,Month-to-month,No,Bank transfer (automatic),56.0168526762125,3001.2
37,51.0,One year,Yes,Mailed check,75.2870153433705,198.25
38,37.0,Month-to-month,Yes,Bank transfer (automatic),62.7203405660273,228.0
39,20.0,Month-to-month,No,Electronic check,27.2461715479171,2239.4
40,71.0,One year,Yes,Bank transfer (automatic),82.5423679849845,560.85
41,60.0,One year,Yes,Bank transfer (automatic),59.2306505241228,981.45
42,41.0,Two year,No,Mailed check,86.5166785661443,3707.6
43,0.0,Month-to-month,No,Electronic check,61.2606764456147,4896.35
44,49.0,Two year,No,Credit card (automatic),83.5753367258254,3171.15
45,0.0,Month-to-month,No,Mailed check,35.4752040795344,3399.85
46,29.0,Month-to-month,Yes,Mailed check,73.5164630077196,7337.55
47,45.0,Month-to-month,Yes,Mailed check,115.283522227114,599.3
48,38.0,Month-to-month,Yes,Mailed check,110.975826952546,1820.9
49,72.0,Two year,Yes,Mailed check,81.6033452132938,6668.0
50,59.0,Two year,Yes,Bank transfer (automatic),54.8408971158154,4267.15
51,25.0,One year,Yes,Mailed check,38.3185637434069,24.7
52,26.0,Month-to-month,Yes,Mailed check,100.10229786448,25.2
53,26.0,Month-to-month,Yes,Mailed check,75.4989873398981,316.2
54,66.0,Month-to-month,Yes,Mailed check,118.75,1377.7
55,0.0,Month-to-month,Yes,Electronic check,70.3363538130123,1296.15
56,58.0,Month-to-month,No,Credit card (automatic),18.25,1611.15
57,25.0,Month-to-month,Yes,Mailed check,76.0977385993545,2227.8
58,19.0,Month-to-month,No,Electronic check,69.1190114027892,178.7
59,61.0,One year,No,Bank transfer (automatic),67.7264728630991,6310.9
60,63.0,One year,Yes,Credit card (automatic),30.3434573127233,653.95
61,30.0,Month-to-month,Yes,Bank transfer (automatic),48.8960171428298,6844.5
62,72.0,Month-to-month,Yes,Bank transfer (automatic),118.75,6844.5
63,0.0,Month-to-month,Yes,Bank transfer (automatic),18.25,861.85
64,23.0,Month-to-month,Yes,Mailed check,51.7691491114678,7076.35
65,6.0,Month-to-month,No,Electronic check,18.25,1345.75
66,36.0,Two year,Yes,Bank transfer (automatic),74.1524896961393,572.85
67,34.0,Two year,No,Mailed check,104.061834083871,653.15
68,61.0,One year,No,Credit card (automatic),54.4759678408456,2727.8
69,72.0,Month-to-month,No,Mailed check,70.5257288236827,1968.1
70,22.0,Month-to-month,No,Mailed check,18.25,8192.6
71,51.0,Two year,Yes,Bank transfer (automatic),59.5024939340892,411.6
72,37.0,Two year,Yes,Credit card (automatic),91.6297703566018,89.75
73,0.0,Month-to-month,No,Electronic check,96.9484896168496,6844.5
74,72.0,One year,Yes,Bank transfer (automatic),89.2854365272948,921.3
75,37.0,Month-to-month,Yes,Electronic check,85.4115542679729,2471.25
76,35.0,Month-to-month,Yes,Credit card (automatic),97.2642442532067,20.2
77,24.0,Two year,No,Mailed check,47.8773181921545,5194.05
78,72.0,One year,Yes,Mailed check,93.3328250041453,5589.3
79,3.0,Month-to-month,Yes,Mailed check,22.7445035329494,1113.95
80,13.0,Two year,Yes,Mailed check,75.5175533576205,1195.25
81,38.0,Month-to-month,Yes,Electronic check,18.25,4189.7
82,42.0,Month-to-month,Yes,Bank transfer (automatic),69.9485152876672,552.95
83,0.0,Month-to-month,Yes,Mailed check,29.4473213293708,740.55
84,72.0,One year,Yes,Bank transfer (automatic),36.2892915518676,1081.45
85,64.0,Month-to-month,Yes,Mailed check,49.8496494740168,3255.35
86,15.0,Month-to-month,No,Mailed check,28.5519741415875,3591.25
87,0.0,Month-to-month,No,Electronic check,39.3763426971632,1643.55
88,49.0,Two year,No,Bank transfer (automatic),30.6767148509333,3739.8
89,58.0,One year,No,Mailed check,45.5049321962864,7623.2
90,50.0,Two year,No,Mailed check,23.4455214114248,7887.25
91,4.0,Month-to-month,No,Electronic check,18.25,6844.5
92,13.0,Month-to-month,Yes,Electronic check,83.532377475269,6822.15
93,13.0,Month-to-month,No,Electronic check,47.9133706507845,355.1
94,28.0,Month-to-month,Yes,Electronic check,77.3782655322407,1454.15
95,40.0,One year,Yes,Mailed check,53.2988697952533,472.65
96,18.0,Month-to-month,Yes,Mailed check,18.25,260.8
97,11.0,Month-to-month,No,Bank transfer (automatic),36.7103189862237,3673.15
98,25.0,Month-to-month,No,Credit card (automatic),18.5584515451329,1348.5
99,20.0,Two year,No,Mailed check,47.1623551844365,696.35
100,32.0,Month-to-month,No,Mailed check,81.6321725482016,20.2
101,40.0,One year,Yes,Mailed check,55.4809371638135,1077.05
102,40.0,Month-to-month,No,Electronic check,94.9829182889235,5135.15
103,28.0,Two year,No,Credit card (automatic),18.25,2263.4
104,60.0,One year,Yes,Bank transfer (automatic),95.2489491837164,232.35
105,44.0,Month-to-month,Yes,Bank transfer (automatic),84.4756875693389,1167.8
106,71.0,One year,No,Credit card (automatic),18.25,997.65
107,20.0,Month-to-month,Yes,Electronic check,82.0683478358296,7346.2
108,31.0,Month-to-month,Yes,Electronic check,18.25,299.3
109,47.0,Two year,Yes,Mailed check,97.2372211997151,74.2
110,0.0,Month-to-month,Yes,Electronic check,39.8703038260242,5037.55
111,63.0,One year,Yes,Electronic check,104.012895311863,1441.65
112,38.0,Two year,Yes,Mailed check,62.979003711626,2976.95
113,49.0,Two year,No,Credit card (automatic),55.3871328380409,49.65
114,33.0,One year,Yes,Credit card (automatic),80.8787947334566,1940.85
115,35.0,Two year,Yes,Bank transfer (automatic),27.1126729274295,2015.35
116,43.0,Two year,Yes,Bank transfer (automatic),79.5875217584687,70.7
117,16.0,Two year,No,Mailed check,80.8269477689211,5638.3
118,10.0,Month-to-month,Yes,Electronic check,98.9533427699657,20.2
119,5.0,Month-to-month,Yes,Mailed check,26.2937107440942,19.45
120,26.0,Month-to-month,Yes,Bank transfer (automatic),56.565536772645,439.75
121,54.0,One year,Yes,Bank transfer (automatic),80.6808446265691,911.6
122,22.0,Month-to-month,Yes,Electronic check,44.1207453160708,3605.2
123,13.0,Month-to-month,Yes,Bank transfer (automatic),43.359292096927,1313.55
124,7.0,Month-to-month,Yes,Electronic check,18.25,88.8
125,24.0,Two year,No,Credit card (automatic),60.2741324041964,1461.15
126,10.0,Two year,Yes,Electronic check,79.2422847440832,580.8
127,55.0,Two year,Yes,Bank transfer (automatic),80.3821859593038,762.45
128,44.0,Month-to-month,Yes,Mailed check,41.8884416223073,130.55
129,0.0,Month-to-month,Yes,Bank transfer (automatic),64.105987698977,81.95
130,11.0,Two year,No,Electronic check,27.0662401857138,231.8
131,41.0,One year,No,Credit card (automatic),58.2896874032827,2499.3
132,40.0,Month-to-month,Yes,Electronic check,67.8590208965514,3470.8
133,72.0,One year,Yes,Bank transfer (automatic),95.0291536981688,4449.75
134,6.0,Month-to-month,No,Bank transfer (automatic),61.8054776187129,947.75
135,14.0,Month-to-month,Yes,Electronic check,70.5752695559812,1867.7
136,53.0,Two year,Yes,Bank transfer (automatic),77.5448261637872,6844.5
137,55.0,Month-to-month,Yes,Credit card (automatic),118.75,3801.7
138,11.0,Month-to-month,Yes,Mailed check,18.7907732883753,390.85
139,33.0,Month-to-month,Yes,Mailed check,46.0597250595954,1302.65
140,65.0,One year,Yes,Bank transfer (automatic),62.0976196055865,916.0
