customerID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
1,Yes,No phone service,Fiber optic,No,No,No,No,No,No
2,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,Yes
3,Yes,No,DSL,Yes,Yes,No,No,No,Yes
4,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,Yes,Yes
5,Yes,Yes,Fiber optic,No,No,No,No,No,No
6,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7,Yes,No,DSL,No,No,No,No,Yes,No
8,Yes,Yes,DSL,No,No,No,No,No,Yes
9,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
10,Yes,Yes,Fiber optic,No,No,No,No,No,No
11,Yes,No phone service,Fiber optic,No,No,No,No,No,No
12,Yes,Yes,DSL,No,Yes,No internet service,No,No,Yes
13,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
14,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes
15,Yes,No,No,No internet service,No internet service,Yes,Yes,No,Yes
16,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes
17,Yes,Yes,No,Yes,Yes,No internet service,Yes,Yes,Yes
18,Yes,No,Fiber optic,Yes,No,No,No,No,Yes
19,Yes,Yes,DSL,No internet service,Yes,No internet service,No,Yes,Yes
20,Yes,No,No,Yes,No internet service,No internet service,No internet service,Yes,Yes
21,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes
22,Yes,No,DSL,Yes,Yes,Yes,No internet service,Yes,No
23,Yes,No,No,No internet service,No internet service,Yes,No internet service,No internet service,Yes
24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
25,Yes,No,DSL,Yes,No internet service,No internet service,Yes,Yes,Yes
26,Yes,Yes,DSL,No,Yes,No,No,No,No
27,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes
28,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
29,Yes,Yes,Fiber optic,No,No,No,No,No,No
30,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,No
31,Yes,Yes,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service
32,Yes,No,No,Yes,Yes,No,No,Yes,Yes
33,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes
34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
35,Yes,Yes,No,No,No internet service,No,Yes,Yes,Yes
36,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes
37,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No
38,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No internet service,Yes
39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
40,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes
41,Yes,No,DSL,Yes,Yes,Yes,No internet service,Yes,No
42,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
43,Yes,No,DSL,No,No,Yes,No,No,No
44,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No
45,Yes,Yes,DSL,No,No,Yes,No,Yes,No
46,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
47,Yes,No phone service,Fiber optic,No,No,No,No,No,No
48,Yes,Yes,Fiber optic,No,No,No,No,Yes,No internet service
49,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
50,Yes,No,DSL,No,Yes,Yes,Yes,No internet service,Yes
51,Yes,No,DSL,Yes,Yes,Yes,No internet service,Yes,Yes
52,Yes,Yes,Fiber optic,No,No,No,No,No,No
53,Yes,Yes,DSL,Yes,Yes,No,No,No,No
54,Yes,No phone service,Fiber optic,No,No,No,No,No,No
55,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
56,Yes,Yes,No,NaN,No internet service,No internet service,No internet service,Yes,Yes
57,Yes,Yes,Fiber optic,NaN,No,No,No,Yes,Yes
58,Yes,No,Fiber optic,NaN,Yes,No internet service,No,Yes,Yes
59,Yes,No,DSL,NaN,Yes,Yes,Yes,Yes,Yes
60,Yes,Yes,DSL,NaN,No internet service,No internet service,Yes,Yes,No internet service
61,Yes,Yes,DSL,NaN,Yes,Yes,Yes,No,No internet service
62,Yes,Yes,Fiber optic,NaN,Yes,No,No,No,No
63,No,Yes,No,NaN,No,No,No,No,No
64,Yes,No,Fiber optic,NaN,Yes,No,No,Yes,No
65,Yes,No,No,NaN,Yes,Yes,No internet service,Yes,No internet service
66,Yes,Yes,Fiber optic,NaN,Yes,Yes,No,Yes,Yes
67,Yes,Yes,Fiber optic,NaN,No,No,No,No,No
68,Yes,Yes,DSL,NaN,Yes,No,No,No,No
69,Yes,Yes,DSL,NaN,No,No,Yes,Yes,Yes
70,Yes,No,No,NaN,No internet service,No internet service,No internet service,Yes,No internet service
