customerID,PaymentMethod,Churn
1,"Electronic check",Yes
7,"Credit card (automatic)",Yes
8,"Electronic check",Yes
9,"Electronic check",Yes
16,"Electronic check",Yes
28,"Electronic check",Yes
73,"Electronic check",Yes
75,"Electronic check",Yes
81,"Electronic check",Yes
110,"Electronic check",Yes
152,"Electronic check",Yes
155,"Credit card (automatic)",Yes
170,"Electronic check",Yes
171,"Electronic check",Yes
175,"Electronic check",Yes
200,"Electronic check",Yes
206,"Electronic check",Yes
209,"Electronic check",Yes
210,"Credit card (automatic)",Yes
245,"Credit card (automatic)",Yes
249,"Electronic check",Yes
283,"Electronic check",Yes
298,"Electronic check",Yes
312,"Electronic check",Yes
314,"Electronic check",Yes
315,"Credit card (automatic)",Yes
343,"Electronic check",Yes
359,"Electronic check",Yes
378,"Credit card (automatic)",Yes
392,"Electronic check",Yes
399,"Electronic check",Yes
410,"Electronic check",Yes
415,"Credit card (automatic)",Yes
433,"Electronic check",Yes
435,"Electronic check",Yes
436,"Electronic check",Yes
454,"Electronic check",Yes
463,"Electronic check",Yes
484,"Electronic check",Yes
501,"Electronic check",Yes
512,"Electronic check",Yes
524,"Electronic check",Yes
540,"Electronic check",Yes
543,"Electronic check",Yes
545,"Electronic check",Yes
557,"Electronic check",Yes
568,"Electronic check",Yes
571,"Electronic check",Yes
589,"Electronic check",Yes
610,"Electronic check",Yes
623,"Electronic check",Yes
626,"Electronic check",Yes
630,"Electronic check",Yes
636,"Electronic check",Yes
644,"Electronic check",Yes
672,"Credit card (automatic)",Yes
678,"Electronic check",Yes
697,"Credit card (automatic)",Yes
715,"Electronic check",Yes
717,"Credit card (automatic)",Yes
729,"Credit card (automatic)",Yes
737,"Electronic check",Yes
743,"Electronic check",Yes
746,"Electronic check",Yes
750,"Electronic check",Yes
754,"Electronic check",Yes
760,"Credit card (automatic)",Yes
761,"Electronic check",Yes
769,"Electronic check",Yes
792,"Electronic check",Yes
803,"Electronic check",Yes
813,"Electronic check",Yes
816,"Electronic check",Yes
817,"Electronic check",Yes
820,"Electronic check",Yes
855,"Credit card (automatic)",Yes
890,"Electronic check",Yes
900,"Electronic check",Yes
919,"Credit card (automatic)",Yes
948,"Electronic check",Yes
950,"Electronic check",Yes
971,"Electronic check",Yes
976,"Electronic check",Yes
979,"Electronic check",Yes
984,"Electronic check",Yes
988,"Electronic check",Yes
995,"Credit card (automatic)",Yes
1000,"Credit card (automatic)",Yes
1008,"Electronic check",Yes
1026,"Credit card (automatic)",Yes
1031,"Electronic check",Yes
1053,"Electronic check",Yes
1073,"Electronic check",Yes
1077,"Electronic check",Yes
1093,"Electronic check",Yes
1104,"Electronic check",Yes
1109,"Electronic check",Yes
1114,"Electronic check",Yes
1126,"Electronic check",Yes
1141,"Electronic check",Yes
1152,"Electronic check",Yes
1155,"Electronic check",Yes
1161,"Electronic check",Yes
1196,"Electronic check",Yes
1201,"Electronic check",Yes
1224,"Electronic check",Yes
1236,"Electronic check",Yes
1245,"Electronic check",Yes
1250,"Electronic check",Yes
1256,"Electronic check",Yes
1267,"Electronic check",Yes
1276,"Electronic check",Yes
1299,"Electronic check",Yes
1309,"Credit card (automatic)",Yes
1327,"Electronic check",Yes
1376,"Electronic check",Yes
1380,"Credit card (automatic)",Yes
1395,"Electronic check",Yes
1398,"Electronic check",Yes
1400,"Electronic check",Yes
1401,"Electronic check",Yes
1402,"Credit card (automatic)",Yes
1416,"Electronic check",Yes
1448,"Electronic check",Yes
1470,"Credit card (automatic)",Yes
1488,"Electronic check",Yes
1493,"Electronic check",Yes
1553,"Electronic check",Yes
1563,"Electronic check",Yes
1564,"Electronic check",Yes
1576,"Electronic check",Yes
