customerID,Churn
CUST_ID001,Yes
CUST_ID002,No
CUST_ID003,No
CUST_ID004,No
CUST_ID005,No
CUST_ID006,No
CUST_ID007,Yes
CUST_ID008,Yes
CUST_ID009,Yes
CUST_ID010,No
CUST_ID011,No
CUST_ID012,No
CUST_ID013,Yes
CUST_ID014,No
CUST_ID015,No
CUST_ID016,Yes
CUST_ID017,No
CUST_ID018,No
CUST_ID019,No
CUST_ID020,No
CUST_ID021,No
CUST_ID022,No
CUST_ID023,No
CUST_ID024,No
CUST_ID025,No
CUST_ID026,No
CUST_ID027,No
CUST_ID028,Yes
CUST_ID029,No
CUST_ID030,No
CUST_ID031,No
CUST_ID032,No
CUST_ID033,No
CUST_ID034,No
CUST_ID035,No
CUST_ID036,Yes
CUST_ID037,No
CUST_ID038,No
CUST_ID039,No
CUST_ID040,No
CUST_ID041,No
CUST_ID042,No
CUST_ID043,No
CUST_ID044,No
CUST_ID045,No
CUST_ID046,No
CUST_ID047,Yes
CUST_ID048,No
CUST_ID049,No
CUST_ID050,No
CUST_ID051,No
CUST_ID052,No
CUST_ID053,No
CUST_ID054,No
CUST_ID055,No
CUST_ID056,No
CUST_ID057,No
CUST_ID058,No
CUST_ID059,No
CUST_ID060,No
CUST_ID061,No
CUST_ID062,No
CUST_ID063,No
CUST_ID064,No
CUST_ID065,No
CUST_ID066,No
CUST_ID067,Yes
CUST_ID068,No
CUST_ID069,No
CUST_ID070,No
CUST_ID071,No
CUST_ID072,No
CUST_ID073,Yes
CUST_ID074,No
CUST_ID075,Yes
CUST_ID076,No
CUST_ID077,No
CUST_ID078,No
CUST_ID079,No
CUST_ID080,No
CUST_ID081,Yes
CUST_ID082,No
CUST_ID083,No
CUST_ID084,No
CUST_ID085,No
CUST_ID086,No
CUST_ID087,No
CUST_ID088,No
CUST_ID089,No
CUST_ID090,No
CUST_ID091,No
CUST_ID092,No
CUST_ID093,No
CUST_ID094,No
CUST_ID095,No
CUST_ID096,No
CUST_ID097,Yes
CUST_ID098,No
CUST_ID099,No
CUST_ID100,No
CUST_ID101,No
CUST_ID102,No
CUST_ID103,No
CUST_ID104,No
CUST_ID105,Yes
CUST_ID106,No
CUST_ID107,No
CUST_ID108,No
CUST_ID109,No
CUST_ID110,Yes
CUST_ID111,No
CUST_ID112,Yes
CUST_ID113,No
CUST_ID114,No
CUST_ID115,No
CUST_ID116,Yes
CUST_ID117,No
CUST_ID118,No
CUST_ID119,No
CUST_ID120,No
CUST_ID121,No
CUST_ID122,No
CUST_ID123,No
CUST_ID124,No
CUST_ID125,No
CUST_ID126,No
CUST_ID127,No
CUST_ID128,No
CUST_ID129,No
CUST_ID130,No
CUST_ID131,No
CUST_ID132,No
CUST_ID133,No
CUST_ID134,Yes
CUST_ID135,No
CUST_ID136,No
CUST_ID137,No
CUST_ID138,Yes
CUST_ID139,No
CUST_ID140,No
CUST_ID141,Yes
CUST_ID142,Yes
CUST_ID143,No
CUST_ID144,Yes
CUST_ID145,No
CUST_ID146,No
CUST_ID147,No
CUST_ID148,No
CUST_ID149,No
CUST_ID150,No
CUST_ID151,No
CUST_ID152,Yes
CUST_ID153,No
CUST_ID154,No
CUST_ID155,Yes
CUST_ID156,No
CUST_ID157,No
CUST_ID158,No
CUST_ID159,No
CUST_ID160,No
CUST_ID161,Yes
CUST_ID162,No
CUST_ID163,No
CUST_ID164,No
CUST_ID165,No
CUST_ID166,Yes
CUST_ID167,No
CUST_ID168,No
CUST_ID169,No
CUST_ID170,Yes
CUST_ID171,Yes
CUST_ID172,No
CUST_ID173,No
CUST_ID174,No
CUST_ID175,Yes
CUST_ID176,No
CUST_ID177,No
CUST_ID178,No
CUST_ID179,No
CUST_ID180,No
CUST_ID181,No
CUST_ID182,No
CUST_ID183,No
CUST_ID184,No
CUST_ID185,No
CUST_ID186,No
CUST_ID187,No
CUST_ID188,No
CUST_ID189,No
CUST_ID190,No
CUST_ID191,No
CUST_ID192,No
CUST_ID193,No
CUST_ID194,No
CUST_ID195,No
CUST_ID196,No
CUST_ID197,No
CUST_ID198,No
CUST_ID199,No
CUST_ID200,Yes
CUST_ID201,No
CUST_ID202,No
CUST_ID203,No
CUST_ID204,No
CUST_ID205,No
CUST_ID206,Yes
CUST_ID207,Yes
CUST_ID208,No
CUST_ID209,Yes
CUST_ID210,Yes
CUST_ID211,No
CUST_ID212,No
CUST_ID213,No
CUST_ID214,No
CUST_ID215,Yes
CUST_ID216,No
CUST_ID217,Yes
CUST_ID218,No
CUST_ID219,No
CUST_ID220,No
CUST_ID221,No
CUST_ID222,No
CUST_ID223,No
CUST_ID224,No
CUST_ID225,No
CUST_ID226,Yes
CUST_ID227,No
CUST_ID228,No
CUST_ID229,Yes
CUST_ID230,No
CUST_ID231,No
CUST_ID232,No
CUST_ID233,Yes
CUST_ID234,No
CUST_ID235,No
CUST_ID236,No
CUST_ID237,No
CUST_ID238,No
CUST_ID239,No
CUST_ID240,No
CUST_ID241,No
CUST_ID242,No
CUST_ID243,No
CUST_ID244,No
CUST_ID245,Yes
CUST_ID246,No
CUST_ID247,No
CUST_ID248,No
CUST_ID249,Yes
CUST_ID250,No
CUST_ID251,No
CUST_ID252,No
CUST_ID253,No
CUST_ID254,No
CUST_ID255,No
CUST_ID256,Yes
CUST_ID257,No
CUST_ID258,No
CUST_ID259,No
CUST_ID260,No
CUST_ID261,No
CUST_ID262,Yes
CUST_ID263,No
CUST_ID264,No
CUST_ID265,No
CUST_ID266,No
CUST_ID267,No
CUST_ID268,No
CUST_ID269,No
CUST_ID270,No
CUST_ID271,No
CUST_ID272,No
CUST_ID273,No
CUST_ID274,Yes
CUST_ID275,No
CUST_ID276,No
CUST_ID277,No
CUST_ID278,No
CUST_ID279,No
CUST_ID280,Yes
CUST_ID281,No
CUST_ID282,No
CUST_ID283,Yes
CUST_ID284,No
CUST_ID285,No
CUST_ID286,No
CUST_ID287,No
CUST_ID288,No
CUST_ID289,No
CUST_ID290,Yes
CUST_ID291,No
CUST_ID292,Yes
CUST_ID293,Yes
CUST_ID294,No
CUST_ID295,No
CUST_ID296,No
CUST_ID297,No
CUST_ID298,Yes
CUST_ID299,No
CUST_ID300,No
CUST_ID301,No
CUST_ID302,No
CUST_ID303,No
CUST_ID304,Yes
CUST_ID305,No
CUST_ID306,No
CUST_ID307,No
CUST_ID308,No
CUST_ID309,No
CUST_ID310,No
CUST_ID311,No
CUST_ID312,Yes
